action_order,action_priority,action_type,product_slug,product_label,product_standard_scope,product_review_state,hmtc_standard_percentile_target,hmtc_standard_statistic,aggregate_hmtc_percentile_status,metal_species,loaded_source_count,loaded_n,loaded_row_count,local_candidate_value_count,context_disposition_count,tds_product_route_candidate_count,pending_local_extract_source_count,candidate_pdf_match_count,missing_pdf_count,action_sources,candidate_sources,local_extract_sources,context_disposition_sources,candidate_pdf_match_sources,missing_source_routes,tds_product_route_foods,evidence_needed,next_step,suggested_command,guardrails,notes
1,P1,resolve-species-specific-gap,fish-containing-baby-foods,Fish-containing baby foods,locked_hmtc_row,published,dirty_p10,p10_ppb,BLOCKED: species-specific evidence missing,MeHg,0,0,0,0,1,0,0,0,0,,,,tatsuta2024-methylmercury-intake-children-duplicate-diet,,,,"Load MeHg rows for this product; related total-species rows cannot substitute.","Find or route MeHg evidence for this exact product row; related total-species rows cannot substitute.",npm run evidence:show-results -- --product fish-containing-baby-foods,"Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI.",Total/speciated analytes are intentionally separated before HMTc standards math.
2,P1,resolve-species-specific-gap,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,clean_p90,p90_ppb,BLOCKED: species-specific evidence missing,MeHg,0,0,0,0,0,0,0,0,0,,,,,,,,"Load MeHg rows for this product; related total-species rows cannot substitute.","Find or route MeHg evidence for this exact product row; related total-species rows cannot substitute.",npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI.",Total/speciated analytes are intentionally separated before HMTc standards math.
3,P1,resolve-species-specific-gap,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,dirty_p10,p10_ppb,BLOCKED: species-specific evidence missing,iAs,0,0,0,0,0,0,0,0,0,,,,,,,,"Load iAs rows for this product; related total-species rows cannot substitute.","Find or route iAs evidence for this exact product row; related total-species rows cannot substitute.",npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI.",Total/speciated analytes are intentionally separated before HMTc standards math.
4,P2,find-fit-source-after-context-only-review,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,clean_p90,p90_ppb,BLOCKED: documented local sources are context-only,Ni,0,0,0,0,1,0,0,0,0,marques2021-trace-elements-milks-plant-based-drinks,,,marques2021-trace-elements-milks-plant-based-drinks,,,,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable.","Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper.",npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition.,See data/evidence/local_reingest_context_dispositions.csv.
5,P2,find-fit-source-after-context-only-review,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,dirty_p10,p10_ppb,BLOCKED: documented local sources are context-only,Pb,0,0,0,0,1,0,0,0,0,marques2021-trace-elements-milks-plant-based-drinks,,,marques2021-trace-elements-milks-plant-based-drinks,,,,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable.","Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper.",npm run evidence:show-results -- --product plant-milks-rice-based,Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition.,See data/evidence/local_reingest_context_dispositions.csv.
6,P2,find-fit-source-after-context-only-review,teething-and-snacks-non-rice,Teething & snacks (non-rice),locked_hmtc_row,published,clean_p90,p90_ppb,BLOCKED: documented local sources are context-only,"Pb; Cd",0,0,0,0,2,0,0,0,0,collado-lopez2025-heavy-metals-baby-food-formula,,,collado-lopez2025-heavy-metals-baby-food-formula,,,,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable.","Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper.",npm run evidence:show-results -- --product teething-and-snacks-non-rice,Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition.,See data/evidence/local_reingest_context_dispositions.csv.
7,P2,find-or-route-fit-source-evidence,coffee,Coffee,locked_hmtc_row,draft,independent_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; tAs",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc independent-row P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product coffee,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
8,P2,find-or-route-fit-source-evidence,fermented-beverages-non-tea-based,"Fermented beverages, non-tea-based",locked_hmtc_row,draft,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product fermented-beverages-non-tea-based,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
9,P2,find-or-route-fit-source-evidence,flavored-waters,Flavored waters,locked_hmtc_row,draft,independent_p90,p90_ppb,BLOCKED: no structured evidence loaded,Pb,0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc independent-row P90 decision. Final HMTc value must not exceed the lowest loaded applicable regulatory cap: 5 ug/kg (fda_21cfr165110_pb_bottled_water_5).,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product flavored-waters,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
10,P2,find-or-route-fit-source-evidence,herbal-botanical-infusions,Herbal/botanical infusions,locked_hmtc_row,draft,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; Al",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product herbal-botanical-infusions,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
11,P2,find-or-route-fit-source-evidence,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,Cr-VI,0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product infant-formula-powder-non-soy,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
12,P2,find-or-route-fit-source-evidence,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,dirty_p10,p10_ppb,BLOCKED: no structured evidence loaded,Ni,0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc contaminated-platform P10 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
13,P2,find-or-route-fit-source-evidence,kombucha-tea-based,Kombucha (tea-based),locked_hmtc_row,draft,dirty_p10,p10_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; Al",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc contaminated-platform P10 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product kombucha-tea-based,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
14,P2,find-or-route-fit-source-evidence,matcha,Matcha,locked_hmtc_row,draft,independent_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; Al",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc independent-row P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product matcha,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
15,P2,find-or-route-fit-source-evidence,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Cd; iAs; Al",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
16,P2,find-or-route-fit-source-evidence,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,dirty_p10,p10_ppb,BLOCKED: no structured evidence loaded,Cd,0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc contaminated-platform P10 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product plant-milks-rice-based,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
17,P2,find-or-route-fit-source-evidence,soft-drinks-carbonated-beverages,Soft drinks/carbonated beverages,locked_hmtc_row,draft,independent_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc independent-row P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product soft-drinks-carbonated-beverages,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
18,P2,find-or-route-fit-source-evidence,sports-energy-drinks,Sports/energy drinks,locked_hmtc_row,draft,independent_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; tAs",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc independent-row P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product sports-energy-drinks,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
19,P2,find-or-route-fit-source-evidence,teething-and-snacks-non-rice,Teething & snacks (non-rice),locked_hmtc_row,published,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,iAs,0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product teething-and-snacks-non-rice,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
20,P2,find-or-route-fit-source-evidence,true-tea-camellia-sinensis,True tea (Camellia sinensis),locked_hmtc_row,draft,dirty_p10,p10_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd; Al",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc contaminated-platform P10 decision.,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product true-tea-camellia-sinensis,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
21,P2,find-or-route-fit-source-evidence,vegetable-juices-non-root,"Vegetable juices, non-root",locked_hmtc_row,draft,clean_p90,p90_ppb,BLOCKED: no structured evidence loaded,"Pb; Cd",0,0,0,0,0,0,0,0,0,,,,,,,,Add or route fit-source product evidence before any HMTc clean-platform P90 decision. Final HMTc value must not exceed the lowest loaded applicable regulatory cap: 20 ug/kg (fda2022_draft_pb_other_juice_20).,"Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row.",npm run evidence:show-results -- --product vegetable-juices-non-root,Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap.,
